VICTRCT4 | Module | 5 | 7 |  Visual Impairment and Access to Eye Care 
VIDFCLT2 | Module | 5 | 1 |  Visual Impairment and Access to Eye Care 
VIEYEXM2 | Module | 5 | 5 |  Visual Impairment and Access to Eye Care 
VIGLUMA2 | Module | 5 | 8 |  Visual Impairment and Access to Eye Care 
VIINSUR2 | Module | 5 | 6 |  Visual Impairment and Access to Eye Care 
VIMACDG2 | Module | 5 | 9 |  Visual Impairment and Access to Eye Care 
VINOCRE2 | Module | 5 | 4 |  Visual Impairment and Access to Eye Care 
VIPRFVS2 | Module | 5 | 3 |  Visual Impairment and Access to Eye Care 
VIREDIF3 | Module | 5 | 2 |  Visual Impairment and Access to Eye Care 
WEIGHT2 | Core | 7 | 13 |  Demographics 
WHRTST10 | Core | 15 | 3 |  HIV/AIDS 
WTCHSALT | Module | 7 | 1 |  Sodium or Salt-Related Behavior 
WTKG3 | Core | 6 | 19 |  Calculated Variables 
_AGE65YR | Core | 6 | 14 |  Calculated Variables 
_AGE80 | Core | 6 | 15 |  Calculated Variables 
_AGEG5YR | Core | 6 | 13 |  Calculated Variables 
_AGE_G | Core | 6 | 16 |  Calculated Variables 
_AIDTST3 | Core | 15 | 1 |  Calculated Variables 
_ASTHMS1 | Core | 6 | 4 |  Calculated Variables 
_BMI5 | Core | 6 | 20 |  Calculated Variables 
_BMI5CAT | Core | 6 | 21 |  Calculated Variables 
_CASTHM1 | Core | 6 | 3 |  Calculated Variables 
_CHISPNC | Child Demographic Variables |  | 1 | Child Demographic Variables 
_CHLDCNT | Core | 6 | 23 |  Calculated Variables 
_CHOLCHK | Core | 5 | 1 |  Calculated Variables 
_CLLCPWT | Child Demographic Variables |  | 4 | Child Demographic Variables 
_CPRACE | Child Demographic Variables |  | 3 | Child Demographic Variables 
_CRACE1 | Child Demographic Variables |  | 2 | Child Demographic Variables 
_DRDXAR1 | Core | 6 | 5 |  Calculated Variables 
_DRNKWEK | Core | 9 | 4 |  Calculated Variables 
_DUALCOR | Child Demographic Variables |  | 6 | Child Demographic Variables 
_DUALUSE | Child Demographic Variables |  | 5 | Child Demographic Variables 
_EDUCAG | Core | 6 | 24 |  Calculated Variables 
_FLSHOT6 | Core | 14 | 1 |  Calculated Variables 
_FRT16 | Core | 10 | 15 |  Calculated Variables 
_FRTLT1 | Core | 10 | 13 |  Calculated Variables 
_FRTRESP | Core | 10 | 9 |  Calculated Variables 
_FRUITEX | Core | 10 | 17 |  Calculated Variables 
_FRUTSUM | Core | 10 | 11 |  Calculated Variables 
_HCVU651 | Core | 3 | 1 |  Calculated Variables 
_HISPANC | Core | 6 | 8 |  Calculated Variables 
_INCOMG | Core | 6 | 25 |  Calculated Variables 
_LLCPWT | Child Demographic Variables |  | 7 | Child Demographic Variables 
_LMTACT1 | Core | 12 | 1 |  Calculated Variables 
_LMTSCL1 | Core | 12 | 3 |  Calculated Variables 
_LMTWRK1 | Core | 12 | 2 |  Calculated Variables 
_LTASTH1 | Core | 6 | 2 |  Calculated Variables 
_MICHD | Core | 6 | 1 |  Calculated Variables 
_MINAC11 | Core | 11 | 12 |  Calculated Variables 
_MINAC21 | Core | 11 | 13 |  Calculated Variables 
_MISFRTN | Core | 10 | 7 |  Calculated Variables 
_MISVEGN | Core | 10 | 8 |  Calculated Variables 
_MRACE1 | Core | 6 | 7 |  Calculated Variables 
_PA150R2 | Core | 11 | 24 |  Calculated Variables 
_PA30021 | Core | 11 | 26 |  Calculated Variables 
_PA300R2 | Core | 11 | 25 |  Calculated Variables 
_PACAT1 | Core | 11 | 22 |  Calculated Variables 
_PAINDX1 | Core | 11 | 23 |  Calculated Variables 
_PAREC1 | Core | 11 | 28 |  Calculated Variables 
_PASTAE1 | Core | 11 | 29 |  Calculated Variables 
_PASTRNG | Core | 11 | 27 |  Calculated Variables 
_PNEUMO2 | Core | 14 | 2 |  Calculated Variables 
_PRACE1 | Core | 6 | 6 |  Calculated Variables 
_PSU | Record Identification |  | 9 | Record Identification 
_RACE | Core | 6 | 9 |  Calculated Variables 
_RACEG21 | Core | 6 | 10 |  Calculated Variables 
_RACEGR3 | Core | 6 | 11 |  Calculated Variables 
_RACE_G1 | Core | 6 | 12 |  Calculated Variables 
_RAWRAKE | Questionnaire Language |  | 7 | Questionnaire Language 
_RFBING5 | Core | 9 | 3 |  Calculated Variables 
_RFBMI5 | Core | 6 | 22 |  Calculated Variables 
_RFCHOL | Core | 5 | 2 |  Calculated Variables 
_RFDRHV5 | Core | 9 | 5 |  Calculated Variables 
_RFHLTH | Core | 1 | 1 |  Calculated Variables 
_RFHYPE5 | Core | 4 | 1 |  Calculated Variables 
_RFSEAT2 | Core | 13 | 1 |  Calculated Variables 
_RFSEAT3 | Core | 13 | 2 |  Calculated Variables 
_RFSMOK3 | Core | 8 | 2 |  Calculated Variables 
_SMOKER3 | Core | 8 | 1 |  Calculated Variables 
_STATE | Record Identification |  | 1 | Record Identification 
_STRWT | Questionnaire Language |  | 6 | Questionnaire Language 
_STSTR | Questionnaire Language |  | 5 | Questionnaire Language 
_TOTINDA | Core | 11 | 1 |  Calculated Variables 
_VEG23 | Core | 10 | 16 |  Calculated Variables 
_VEGESUM | Core | 10 | 12 |  Calculated Variables 
_VEGETEX | Core | 10 | 18 |  Calculated Variables 
_VEGLT1 | Core | 10 | 14 |  Calculated Variables 
_VEGRESP | Core | 10 | 10 |  Calculated Variables 
_WT2RAKE | Questionnaire Language |  | 8 | Questionnaire Language 
Saving
